state,Gender,Year,Count
CA,F,1994,242463
CA,F,1995,234560
CA,F,1996,229758
CA,F,1997,222822
CA,F,1998,220978
CA,F,1999,219034
CA,F,2000,223774
CA,F,2001,222241
CA,F,2002,222685
CA,F,2003,226595
CA,F,2004,228745
CA,F,2005,230338
CA,F,2006,234675
CA,F,2007,236164
CA,F,2008,229223
CA,F,2009,218190
CA,F,2010,210863
CA,F,2011,207477
CA,F,2012,208915
CA,F,2013,204918
CA,F,2014,209391
CA,F,2015,205067
CA,F,2016,203306
CA,F,2017,195288
CA,F,2018,188786
CA,F,2019,183036
CA,M,1961,188876
CA,M,1962,187005
CA,M,1963,187803
CA,M,1964,183510
CA,M,1965,174914
CA,M,1966,165709
CA,M,1967,165901
CA,M,1968,167249
CA,M,1969,173838
CA,M,1970,178413
CA,M,1971,161637
CA,M,1972,150187
CA,M,1973,144258
CA,M,1974,150342
CA,M,1975,152082
CA,M,1976,158682
CA,M,1977,165440
CA,M,1978,168907
CA,M,1979,179731
CA,M,1980,192255
CA,M,1981,200855
CA,M,1982,204831
CA,M,1983,206878
CA,M,1984,212332
CA,M,1985,223317
CA,M,1986,228251
CA,M,1987,238708
CA,M,1988,252150
CA,M,1989,268626
CA,M,1990,290174
CA,M,1991,287788
CA,M,1992,284261
CA,M,1993,275369
CA,M,1994,266794
CA,M,1995,260048
CA,M,1996,253516
CA,M,1997,245560
CA,M,1998,243293
CA,M,1999,241773
CA,M,2000,247826
CA,M,2001,244636
CA,M,2002,245001
CA,M,2003,250964
CA,M,2004,252049
CA,M,2005,254072
CA,M,2006,260207
CA,M,2007,261388
CA,M,2008,254044
CA,M,2009,242028
CA,M,2010,233659
CA,M,2011,230194
CA,M,2012,230301
CA,M,2013,226831
CA,M,2014,231035
CA,M,2015,225940
CA,M,2016,223260
CA,M,2017,215178
CA,M,2018,205766
CA,M,2019,201424
CO,F,1961,19877
CO,F,1962,19174
CO,F,1963,18854
CO,F,1964,17736
CO,F,1965,15900
CO,F,1966,15163
CO,F,1967,15247
CO,F,1968,15560
CO,F,1969,16326
CO,F,1970,17217
CO,F,1971,16479
CO,F,1972,15737
CO,F,1973,15653
CO,F,1974,15677
CO,F,1975,15790
CO,F,1976,16218
CO,F,1977,17069
CO,F,1978,17300
CO,F,1979,18661
CO,F,1980,19698
CO,F,1981,20772
CO,F,1982,22050
CO,F,1983,21816
CO,F,1984,21646
CO,F,1985,21957
CO,F,1986,21838
CO,F,1987,20990
CO,F,1988,20863
CO,F,1989,20589
CO,F,1990,20763
CO,F,1991,20820
CO,F,1992,21127
CO,F,1993,20265
CO,F,1994,20225
CO,F,1995,20269
CO,F,1996,20971
CO,F,1997,20950
CO,F,1998,22251
CO,F,1999,23062
CO,F,2000,24073
CO,F,2001,24453
CO,F,2002,24838
CO,F,2003,25225
CO,F,2004,24691
CO,F,2005,24715
CO,F,2006,25309
CO,F,2007,24847
CO,F,2008,24472
CO,F,2009,23816
CO,F,2010,22837
CO,F,2011,22374
CO,F,2012,22383
CO,F,2013,22701
CO,F,2014,23194
CO,F,2015,23359
CO,F,2016,23508
CO,F,2017,22561
CO,F,2018,22208
CO,F,2019,21859
CO,M,1961,21974
CO,M,1962,21575
CO,M,1963,20936
CO,M,1964,20132
CO,M,1965,18017
CO,M,1966,16634
CO,M,1967,17416
CO,M,1968,17829
CO,M,1969,18581
CO,M,1970,19800
CO,M,1971,19050
CO,M,1972,18132
CO,M,1973,18105
CO,M,1974,18212
CO,M,1975,18692
CO,M,1976,18821
CO,M,1977,19656
CO,M,1978,20190
CO,M,1979,21801
CO,M,1980,22850
CO,M,1981,23872
CO,M,1982,25173
CO,M,1983,25135
CO,M,1984,24908
CO,M,1985,25190
CO,M,1986,25190
CO,M,1987,24576
CO,M,1988,24139
CO,M,1989,24179
CO,M,1990,24438
CO,M,1991,24257
CO,M,1992,24672
CO,M,1993,24321
CO,M,1994,24297
CO,M,1995,24424
CO,M,1996,24830
CO,M,1997,24997
CO,M,1998,26170
CO,M,1999,27279
CO,M,2000,28416
CO,M,2001,29167
CO,M,2002,29970
CO,M,2003,30276
CO,M,2004,29620
CO,M,2005,29970
CO,M,2006,30255
CO,M,2007,30028
CO,M,2008,29661
CO,M,2009,28724
CO,M,2010,27490
CO,M,2011,27067
CO,M,2012,27126
CO,M,2013,26802
CO,M,2014,27246
CO,M,2015,27632
CO,M,2016,27516
CO,M,2017,26382
CO,M,2018,25712
CO,M,2019,25654
CT,F,1961,24537
CT,F,1962,23681
CT,F,1963,24301
CT,F,1964,24212
CT,F,1965,23012
CT,F,1966,22036
CT,F,1967,20854
CT,F,1968,20349
CT,F,1969,20956
CT,F,1970,20774
CT,F,1971,18457
CT,F,1972,15830
CT,F,1973,14702
CT,F,1974,14230
CT,F,1975,13827
CT,F,1976,13709
CT,F,1977,14249
CT,F,1978,14189
CT,F,1979,14706
CT,F,1980,14894
CT,F,1981,15410
CT,F,1982,15763
CT,F,1983,15801
CT,F,1984,16348
CT,F,1985,17033
CT,F,1986,17328
CT,F,1987,18239
CT,F,1988,18746
CT,F,1989,19120
CT,F,1990,19088
CT,F,1991,18533
CT,F,1992,17860
CT,F,1993,17740
CT,F,1994,17066
CT,F,1995,16429
CT,F,1996,16301
CT,F,1997,15432
CT,F,1998,15534
CT,F,1999,15338
CT,F,2000,15167
CT,F,2001,14909
CT,F,2002,14637
CT,F,2003,14782
CT,F,2004,14348
CT,F,2005,14235
CT,F,2006,13743
CT,F,2007,13829
CT,F,2008,13007
CT,F,2009,12609
CT,F,2010,12205
CT,F,2011,12050
CT,F,2012,11696
CT,F,2013,11736
CT,F,2014,12079
CT,F,2015,12026
CT,F,2016,12307
CT,F,2017,11755
CT,F,2018,11542
CT,F,2019,11582
CT,M,1961,26578
CT,M,1962,25960
CT,M,1963,26083
CT,M,1964,26269
CT,M,1965,25019
CT,M,1966,23843
CT,M,1967,22957
CT,M,1968,22450
CT,M,1969,22660
CT,M,1970,23148
CT,M,1971,20639
CT,M,1972,17846
CT,M,1973,16749
CT,M,1974,16583
CT,M,1975,16291
